Words,Label
a+,0
abound,0
abounds,0
abundance,0
abundant,0
accessable,0
accessible,0
acclaim,0
acclaimed,0
acclamation,0
accolade,0
accolades,0
accommodative,0
accomodative,0
accomplish,0
accomplished,0
accomplishment,0
accomplishments,0
accurate,0
accurately,0
achievable,0
achievement,0
achievements,0
achievible,0
acumen,0
adaptable,0
adaptive,0
adequate,0
adjustable,0
admirable,0
admirably,0
admiration,0
admire,0
admirer,0
admiring,0
admiringly,0
adorable,0
adore,0
adored,0
adorer,0
adoring,0
adoringly,0
adroit,0
adroitly,0
adulate,0
adulation,0
adulatory,0
advanced,0
advantage,0
advantageous,0
advantageously,0
advantages,0
adventuresome,0
adventurous,0
advocate,0
advocated,0
advocates,0
affability,0
affable,0
affably,0
affectation,0
affection,0
affectionate,0
affinity,0
affirm,0
affirmation,0
affirmative,0
affluence,0
affluent,0
afford,0
affordable,0
affordably,0
afordable,0
agile,0
agilely,0
agility,0
agreeable,0
agreeableness,0
agreeably,0
all-around,0
alluring,0
alluringly,0
altruistic,0
altruistically,0
amaze,0
amazed,0
amazement,0
amazes,0
amazing,0
amazingly,0
ambitious,0
ambitiously,0
ameliorate,0
amenable,0
amenity,0
amiability,0
amiabily,0
amiable,0
amicability,0
amicable,0
amicably,0
amity,0
ample,0
amply,0
amuse,0
amusing,0
amusingly,0
angel,0
angelic,0
apotheosis,0
appeal,0
appealing,0
applaud,0
appreciable,0
appreciate,0
appreciated,0
appreciates,0
appreciative,0
appreciatively,0
appropriate,0
approval,0
approve,0
ardent,0
ardently,0
ardor,0
articulate,0
aspiration,0
aspirations,0
aspire,0
assurance,0
assurances,0
assure,0
assuredly,0
assuring,0
astonish,0
astonished,0
astonishing,0
astonishingly,0
astonishment,0
astound,0
astounded,0
astounding,0
astoundingly,0
astutely,0
attentive,0
attraction,0
attractive,0
attractively,0
attune,0
audible,0
audibly,0
auspicious,0
authentic,0
authoritative,0
autonomous,0
available,0
aver,0
avid,0
avidly,0
award,0
awarded,0
awards,0
awe,0
awed,0
awesome,0
awesomely,0
awesomeness,0
awestruck,0
awsome,0
backbone,0
balanced,0
bargain,0
beauteous,0
beautiful,0
beautifullly,0
beautifully,0
beautify,0
beauty,0
beckon,0
beckoned,0
beckoning,0
beckons,0
believable,0
believeable,0
beloved,0
benefactor,0
beneficent,0
beneficial,0
beneficially,0
beneficiary,0
benefit,0
benefits,0
benevolence,0
benevolent,0
benifits,0
best,0
best-known,0
best-performing,0
best-selling,0
better,0
better-known,0
better-than-expected,0
beutifully,0
blameless,0
bless,0
blessing,0
bliss,0
blissful,0
blissfully,0
blithe,0
blockbuster,0
bloom,0
blossom,0
bolster,0
bonny,0
bonus,0
bonuses,0
boom,0
booming,0
boost,0
boundless,0
bountiful,0
brainiest,0
brainy,0
brand-new,0
brave,0
bravery,0
bravo,0
breakthrough,0
breakthroughs,0
breathlessness,0
breathtaking,0
breathtakingly,0
breeze,0
bright,0
brighten,0
brighter,0
brightest,0
brilliance,0
brilliances,0
brilliant,0
brilliantly,0
brisk,0
brotherly,0
bullish,0
buoyant,0
cajole,0
calm,0
calming,0
calmness,0
capability,0
capable,0
capably,0
captivate,0
captivating,0
carefree,0
cashback,0
cashbacks,0
catchy,0
celebrate,0
celebrated,0
celebration,0
celebratory,0
champ,0
champion,0
charisma,0
charismatic,0
charitable,0
charm,0
charming,0
charmingly,0
chaste,0
cheaper,0
cheapest,0
cheer,0
cheerful,0
cheery,0
cherish,0
cherished,0
cherub,0
chic,0
chivalrous,0
chivalry,0
civility,0
civilize,0
clarity,0
classic,0
classy,0
clean,0
cleaner,0
cleanest,0
cleanliness,0
cleanly,0
clear,0
clear-cut,0
cleared,0
clearer,0
clearly,0
clears,0
clever,0
cleverly,0
cohere,0
coherence,0
coherent,0
cohesive,0
colorful,0
comely,0
comfort,0
comfortable,0
comfortably,0
comforting,0
comfy,0
commend,0
commendable,0
commendably,0
commitment,0
commodious,0
compact,0
compactly,0
compassion,0
compassionate,0
compatible,0
competitive,0
complement,0
complementary,0
complemented,0
complements,0
compliant,0
compliment,0
complimentary,0
comprehensive,0
conciliate,0
conciliatory,0
concise,0
confidence,0
confident,0
congenial,0
congratulate,0
congratulation,0
congratulations,0
congratulatory,0
conscientious,0
considerate,0
consistent,0
consistently,0
constructive,0
consummate,0
contentment,0
continuity,0
contrasty,0
contribution,0
convenience,0
convenient,0
conveniently,0
convience,0
convienient,0
convient,0
convincing,0
